Now Amount,RT (s),Delay Time,Resp,Now Location,"0-Delayed, 1-Now"
500,1.052,25 years,1,1,1
250,1.637,25 years,0,0,1
125,14.75,25 years,1,1,1
62.5,5.558,25 years,1,0,0
93.75,6.601,25 years,1,0,0
109.38,3.665,25 years,1,0,0
